name,taxon,status_species,spending,region_num,priority,priority_threat,priority_potential,priority_rarity,conflict,ngenus,CommonNameFlag,ngrams_science,ngrams_common
NA,Plants,NA,4729.378,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,4729.378,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,6502.894,1,8,2,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,17143.99,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,591.1722,1,8,2,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,1891.751,1,2,3,2,2,1,NA,0,-0.1638258,-0.122832
NA,Plants,NA,12414.62,1,8,2,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,591.1722,1,11,2,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,591.1722,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,12414.62,1,11,2,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,2955.861,1,5,3,1,2,1,NA,0,-0.1638258,-0.122832
NA,Plants,NA,1773.517,1,8,2,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,3192.33,1,2,3,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,1891.751,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,591.1722,1,11,2,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,7803.473,1,5,3,1,2,1,NA,0,-0.1638258,-0.122832
NA,Plants,NA,5911.722,1,11,2,1,2,1,NA,0,-0.1638258,-0.122832
NA,Plants,NA,1773.517,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,118825.6,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,2364.689,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,591.1722,1,5,3,1,2,1,NA,0,-0.1638258,-0.122832
NA,Plants,NA,5320.55,1,6,3,1,1,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,4729.378,1,8,2,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,1773.517,1,11,2,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,591.1722,1,11,2,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,9458.755,1,8,2,2,2,0,NA,0,-0.1638258,-0.122832
